,la_code,reporting_year,academic_year,region_code,region_name,la_name,pt_ks2_expectations,pt_ks4_expectations,avg_p8score,num_convictions,num_placed_inside_la,pt_convictions,pt_placed_inside_la,num_substance,num_private_provis,pt_substance,pt_private_provis,num_3_more_placemts,pt_3_more_placemts,inspection_date,ofsted_overall,ofsted_leaders,ofsted_help_protection,ofsted_care,cla_budget,number_in_care,number_in_care_filled,num_convictions_filled,num_placed_inside_la_filled,num_substance_filled,num_private_provis_filled,num_3_more_placemts_filled,pt_convictions_filled,pt_placed_inside_la_filled,pt_substance_filled,pt_private_provis_filled,pt_3_more_placemts_filled,pt_ks2_expectations_filled,pt_ks4_expectations_filled,avg_p8score_filled,per_child_spend,cla_budget_filled,ofsted_overall_filled,ofsted_leaders_filled,ofsted_care_filled,ofsted_help_protection_filled,budget_per_child
551,E06000040,2019,201819.0,E12000008,South East,Windsor and Maidenhead,,,-1.29,,50.0,,40.0,7.0,55.0,10.0,44.0,19.0,15.0,,,,,,8064.0,124.0,124.0,5.0,50.0,7.0,55.0,19.0,4.032258064516129,40.0,10.0,44.0,15.0,37.22222222222222,13.566666666666668,-1.29,65.03225806451613,8064.0,3.0,3.0,2.0,3.0,65.03225806451613
400,E06000040,2020,201920.0,E12000008,South East,Windsor and Maidenhead,,,,,47.0,,41.0,10.0,41.0,12.0,35.0,18.0,16.0,13/01/2020,3.0,3.0,3.0,2.0,9097.0,116.0,116.0,1.0,47.0,10.0,41.0,18.0,0.8620689655172413,41.0,12.0,35.0,16.0,33.708333333333336,25.654545454545453,-1.326851851851852,78.42241379310344,9097.0,3.0,3.0,2.0,3.0,78.42241379310344
250,E06000040,2021,202021.0,E12000008,South East,Windsor and Maidenhead,,57.1,,,56.0,,43.0,0.0,117.0,0.0,90.0,7.0,5.0,,,,,,9895.0,130.0,130.0,3.0,56.0,0.0,117.0,7.0,2.307692307692308,43.0,0.0,90.0,5.0,33.708333333333336,57.1,-1.326851851851852,76.11538461538461,9895.0,3.0,3.0,2.0,3.0,76.11538461538461
100,E06000040,2022,202122.0,E12000008,South East,Windsor and Maidenhead,,,,0.0,43.0,0.0,34.0,,113.0,,88.0,17.0,13.0,,,,,,10950.0,128.0,128.0,0.0,43.0,4.0,113.0,17.0,0.0,34.0,3.125,88.0,13.0,30.285714285714285,21.418181818181818,-1.3829411764705881,85.546875,10950.0,3.0,3.0,2.0,3.0,85.546875
633,E08000015,2018,201718.0,E12000002,North West,Wirral,19.0,14.3,-1.58,10.0,642.0,3.0,77.0,6.0,176.0,1.0,21.0,82.0,10.0,,,,,,20318.0,834.0,834.0,10.0,642.0,6.0,176.0,82.0,3.0,77.0,1.0,21.0,10.0,19.0,14.3,-1.58,24.362110311750598,20318.0,2.0,3.0,2.0,2.0,24.362110311750598
484,E08000015,2019,201819.0,E12000002,North West,Wirral,47.0,14.5,-1.49,14.0,625.0,4.0,75.0,11.0,180.0,2.0,22.0,109.0,13.0,17/06/2019,2.0,3.0,2.0,2.0,28011.0,832.0,832.0,14.0,625.0,11.0,180.0,109.0,4.0,75.0,2.0,22.0,13.0,47.0,14.5,-1.49,33.66706730769231,28011.0,2.0,3.0,2.0,2.0,33.66706730769231
333,E08000015,2020,201920.0,E12000002,North West,Wirral,,11.8,,11.0,622.0,3.0,77.0,9.0,176.0,1.0,22.0,98.0,12.0,,,,,,27920.0,811.0,811.0,11.0,622.0,9.0,176.0,98.0,3.0,77.0,1.0,22.0,12.0,38.5,11.8,-1.376231884057971,34.426633785450065,27920.0,2.0,3.0,2.0,2.0,34.426633785450065
183,E08000015,2021,202021.0,E12000002,North West,Wirral,,32.1,,13.0,662.0,3.0,80.0,6.0,168.0,1.0,20.0,79.0,10.0,,,,,,23698.0,826.0,826.0,13.0,662.0,6.0,168.0,79.0,3.0,80.0,1.0,20.0,10.0,38.5,32.1,-1.376231884057971,28.690072639225182,23698.0,2.0,3.0,2.0,2.0,28.690072639225182
34,E08000015,2022,202122.0,E12000002,North West,Wirral,31.0,22.4,-0.94,6.0,632.0,1.0,80.0,7.0,184.0,1.0,23.0,62.0,8.0,,,,,,36103.0,789.0,789.0,6.0,632.0,7.0,184.0,62.0,1.0,80.0,1.0,23.0,8.0,31.0,22.4,-0.94,45.757921419518375,36103.0,2.0,3.0,2.0,2.0,45.757921419518375
701,E06000041,2018,201718.0,E12000008,South East,Wokingham,,,-0.93,0.0,47.0,0.0,44.0,,28.0,,26.0,14.0,13.0,,,,,,6007.0,106.0,106.0,0.0,47.0,2.0,28.0,14.0,0.0,44.0,1.8867924528301887,26.0,13.0,32.75,23.857142857142858,-0.93,56.66981132075472,6007.0,2.0,2.0,3.0,2.0,56.66981132075472
